Place_ID,Place_Name,Deskripsi,Kategori,Harga,lokasi,fasilitas,Metadata
1,Taman Pintar Yogyakarta,"Taman Pintar Yogyakarta adalah sebuah destinasi pendidikan dan rekreasi interaktif yang terletak di Jalan Panembahan Senopati No. 1-3, Yogyakarta. Taman ini didirikan pada tahun 2004 dengan tujuan untuk meningkatkan minat masyarakat terhadap ilmu pengetahuan dan teknologi melalui pengalaman belajar yang menyenangkan. Dengan luas lebih dari 4 hektar, Taman Pintar menawarkan beragam wahana dan aktivitas yang menarik, termasuk laboratorium sains, planetarium, miniatur candi, dan area budaya yang menggambarkan warisan seni dan budaya lokal. Pengunjung dapat melakukan eksperimen sains interaktif, mengikuti pertunjukan di planetarium, serta mengeksplorasi berbagai konsep ilmiah melalui pameran yang informatif dan menyenangkan. Taman Pintar Yogyakarta menjadi destinasi populer bagi wisatawan dan keluarga yang ingin belajar sambil bermain, sementara juga menjadi tempat yang inspiratif bagi pelajar dan pencinta ilmu pengetahuan.",Indoor,6000,Kota Yogyakarta,"Laboratorium interaktif dan eksperimen ilmiah, panggung pertunjukan dan teater, area bermain anak dan wahana permainan edukatif, kafe dan tempat makan, area istirahat dan piknik, toko suvenir dan toko buku.","1 Taman Pintar Yogyakarta Taman Pintar Yogyakarta adalah sebuah destinasi pendidikan dan rekreasi interaktif yang terletak di Jalan Panembahan Senopati No. 1-3, Yogyakarta. Taman ini didirikan pada tahun 2004 dengan tujuan untuk meningkatkan minat masyarakat terhadap ilmu pengetahuan dan teknologi melalui pengalaman belajar yang menyenangkan. Dengan luas lebih dari 4 hektar, Taman Pintar menawarkan beragam wahana dan aktivitas yang menarik, termasuk laboratorium sains, planetarium, miniatur candi, dan area budaya yang menggambarkan warisan seni dan budaya lokal. Pengunjung dapat melakukan eksperimen sains interaktif, mengikuti pertunjukan di planetarium, serta mengeksplorasi berbagai konsep ilmiah melalui pameran yang informatif dan menyenangkan. Taman Pintar Yogyakarta menjadi destinasi populer bagi wisatawan dan keluarga yang ingin belajar sambil bermain, sementara juga menjadi tempat yang inspiratif bagi pelajar dan pencinta ilmu pengetahuan. Indoor 6000 Kota Yogyakarta Laboratorium interaktif dan eksperimen ilmiah, panggung pertunjukan dan teater, area bermain anak dan wahana permainan edukatif, kafe dan tempat makan, area istirahat dan piknik, toko suvenir dan toko buku."
2,Keraton Yogyakarta,"Keraton Yogyakarta, atau Keraton Ngayogyakarta Hadiningrat, adalah istana resmi dan kompleks istana kerajaan yang menjadi simbol kebudayaan dan sejarah Jawa di Yogyakarta, Indonesia. Dibangun pada tahun 1755 oleh Sultan Hamengkubuwono I, keraton ini terletak di Jalan Rotowijayan Blok No. 1, Panembahan, Kraton, Yogyakarta. Kompleks keraton mencakup berbagai bangunan istana, pendopo, dan taman yang menunjukkan arsitektur Jawa klasik dengan detail artistik yang indah. Di dalamnya, terdapat museum yang memamerkan artefak sejarah, seni rupa, dan kebudayaan Jawa, serta ruang-ruang istana yang berfungsi sebagai tempat pelaksanaan upacara adat dan pertunjukan seni tradisional. Keraton Yogyakarta merupakan simbol kekuasaan dan keagungan kerajaan yang masih berperan penting dalam kehidupan budaya masyarakat Yogyakarta saat ini, serta menjadi salah satu daya tarik wisata budaya yang menarik untuk dikunjungi.",Indoor,15000,Kota Yogyakarta,"Museum dengan koleksi artefak sejarah, pemandu wisata dan tur sejarah, ruang upacara dan pertunjukan tradisional, toko suvenir dan oleh-oleh, taman dan area terbuka, area parkir.","2 Keraton Yogyakarta Keraton Yogyakarta, atau Keraton Ngayogyakarta Hadiningrat, adalah istana resmi dan kompleks istana kerajaan yang menjadi simbol kebudayaan dan sejarah Jawa di Yogyakarta, Indonesia. Dibangun pada tahun 1755 oleh Sultan Hamengkubuwono I, keraton ini terletak di Jalan Rotowijayan Blok No. 1, Panembahan, Kraton, Yogyakarta. Kompleks keraton mencakup berbagai bangunan istana, pendopo, dan taman yang menunjukkan arsitektur Jawa klasik dengan detail artistik yang indah. Di dalamnya, terdapat museum yang memamerkan artefak sejarah, seni rupa, dan kebudayaan Jawa, serta ruang-ruang istana yang berfungsi sebagai tempat pelaksanaan upacara adat dan pertunjukan seni tradisional. Keraton Yogyakarta merupakan simbol kekuasaan dan keagungan kerajaan yang masih berperan penting dalam kehidupan budaya masyarakat Yogyakarta saat ini, serta menjadi salah satu daya tarik wisata budaya yang menarik untuk dikunjungi. Indoor 15000 Kota Yogyakarta Museum dengan koleksi artefak sejarah, pemandu wisata dan tur sejarah, ruang upacara dan pertunjukan tradisional, toko suvenir dan oleh-oleh, taman dan area terbuka, area parkir."
3,Sindu Kusuma Edupark (SKE),"Sindu Kusuma Edupark (SKE) merupakan sebuah destinasi rekreasi yang terletak di Jogjakarta. Di tujuh hektar kawasan taman yang selesai dibangun tahun 2014 ini, terdapat bermacam-macam wahana, baik wahana bermain maupun wahana belajar yang bisa dinikmati oleh semua anggota keluarga. Wahana yang paling terkenal dari SKE adalah bianglalanya, yang merupakan sebuah wahana bermain sekaligus ikon SKE sendiri. Bila Singapore memiliki Flyer setinggi 165 meter, sementara Malaysia punya Eye setinggi 88 meter, dan di Thailand ada Asiatique setinggi 60 meter, Indonesia memiliki Cakra Manggilingan dengan tinggi 48 meter. Di tingkat Asia Tenggara, bianglala ini memang mesti berpuas diri duduk di peringkat keenam sebagai bianglala tertinggi, tetapi di tingkat nasional, ia duduk di peringkat pertama.",Outdoor,20000,Kabupaten Sleman,"Beragam wahana permainan dan atraksi edukatif, taman dan area piknik, restoran dan kafe, area bermain anak, tempat duduk dan area istirahat, toko suvenir dan toko mainan.","3 Sindu Kusuma Edupark (SKE) Sindu Kusuma Edupark (SKE) merupakan sebuah destinasi rekreasi yang terletak di Jogjakarta. Di tujuh hektar kawasan taman yang selesai dibangun tahun 2014 ini, terdapat bermacam-macam wahana, baik wahana bermain maupun wahana belajar yang bisa dinikmati oleh semua anggota keluarga. Wahana yang paling terkenal dari SKE adalah bianglalanya, yang merupakan sebuah wahana bermain sekaligus ikon SKE sendiri. Bila Singapore memiliki Flyer setinggi 165 meter, sementara Malaysia punya Eye setinggi 88 meter, dan di Thailand ada Asiatique setinggi 60 meter, Indonesia memiliki Cakra Manggilingan dengan tinggi 48 meter. Di tingkat Asia Tenggara, bianglala ini memang mesti berpuas diri duduk di peringkat keenam sebagai bianglala tertinggi, tetapi di tingkat nasional, ia duduk di peringkat pertama. Outdoor 20000 Kabupaten Sleman Beragam wahana permainan dan atraksi edukatif, taman dan area piknik, restoran dan kafe, area bermain anak, tempat duduk dan area istirahat, toko suvenir dan toko mainan."
4,Museum Benteng Vredeburg Yogyakarta,"Museum Benteng Vredeburg, yang terletak di Jalan Jenderal Ahmad Yani No. 6, Yogyakarta, adalah sebuah museum sejarah yang berlokasi di bekas benteng kolonial Belanda yang dibangun pada tahun 1760. Benteng ini memiliki peran penting dalam sejarah Indonesia, terutama selama masa perjuangan kemerdekaan. Museum ini menyajikan koleksi artefak sejarah, mulai dari senjata dan peralatan militer, foto-foto dokumenter, hingga replika ruangan penting yang berkaitan dengan Proklamasi Kemerdekaan Indonesia pada tahun 1945. Selain sebagai tempat penyimpanan sejarah, museum ini juga menjadi pusat pendidikan sejarah yang memungkinkan pengunjung untuk memahami perjalanan panjang perjuangan bangsa Indonesia melalui berbagai display dan pameran interaktif. Dengan lokasi yang strategis di pusat kota Yogyakarta dan bangunan bersejarah yang megah, Museum Benteng Vredeburg menjadi destinasi populer bagi wisatawan dan pelajar yang ingin mengenal lebih dalam tentang sejarah Indonesia pada masa kolonial dan perjuangan kemerdekaan.",Indoor,3000,Kota Yogyakarta,"Pameran sejarah dan multimedia, auditorium dan ruang pertunjukan, toko suvenir dan toko buku, area istirahat dan kafe, layanan pemandu wisata, Wi-Fi gratis.","4 Museum Benteng Vredeburg Yogyakarta Museum Benteng Vredeburg, yang terletak di Jalan Jenderal Ahmad Yani No. 6, Yogyakarta, adalah sebuah museum sejarah yang berlokasi di bekas benteng kolonial Belanda yang dibangun pada tahun 1760. Benteng ini memiliki peran penting dalam sejarah Indonesia, terutama selama masa perjuangan kemerdekaan. Museum ini menyajikan koleksi artefak sejarah, mulai dari senjata dan peralatan militer, foto-foto dokumenter, hingga replika ruangan penting yang berkaitan dengan Proklamasi Kemerdekaan Indonesia pada tahun 1945. Selain sebagai tempat penyimpanan sejarah, museum ini juga menjadi pusat pendidikan sejarah yang memungkinkan pengunjung untuk memahami perjalanan panjang perjuangan bangsa Indonesia melalui berbagai display dan pameran interaktif. Dengan lokasi yang strategis di pusat kota Yogyakarta dan bangunan bersejarah yang megah, Museum Benteng Vredeburg menjadi destinasi populer bagi wisatawan dan pelajar yang ingin mengenal lebih dalam tentang sejarah Indonesia pada masa kolonial dan perjuangan kemerdekaan. Indoor 3000 Kota Yogyakarta Pameran sejarah dan multimedia, auditorium dan ruang pertunjukan, toko suvenir dan toko buku, area istirahat dan kafe, layanan pemandu wisata, Wi-Fi gratis."
5,De Mata Museum Jogja,"Museum De Mata merupakan salah satu museum yang berisi lukisan 3D terbanyak di dunia. Jumlah lukisannya sekitar 120 dan setiap lukisan memiliki konsep dengan latar belakang yang terlihat seperti nyata. Ada beberapa ukuran lukisan yang ada di Museum De Mata dari ukuran biasa sampai mencapai 5 meter. Ada beberapa macam kategori lukisannya yaitu ornament, lanscape, olahraga, tokoh-tokoh terkenal, superhero, sampai lukisan sirkus. Museum ini didirikan untuk masyarakat menghabiskan liburan dengan menambah pengetahuan. Museum ini menawarkan banyak lukisan-lukisan yang unik misalnya terdapat lukisan dimana anda dapat merasakan keseruan berjalan di atas jembatan kayu yang dibawahnya terdapat jurang yang curam Atau berjuang untuk memadamkan semburanapi panas ari mulut naga, lukisan tersebut tampak seolah-olah nyata. Semua itu terdapat di dalam museum De Mata dengan hasil efek yang menipu mata.",Indoor,50000,Kota Yogyakarta,"Koleksi seni 3D dan ilusi optik, studio fotografi dan area berfoto, kafe dan area duduk, toko suvenir dan toko cenderamata, ruang pameran seni kontemporer, area parkir.","5 De Mata Museum Jogja Museum De Mata merupakan salah satu museum yang berisi lukisan 3D terbanyak di dunia. Jumlah lukisannya sekitar 120 dan setiap lukisan memiliki konsep dengan latar belakang yang terlihat seperti nyata. Ada beberapa ukuran lukisan yang ada di Museum De Mata dari ukuran biasa sampai mencapai 5 meter. Ada beberapa macam kategori lukisannya yaitu ornament, lanscape, olahraga, tokoh-tokoh terkenal, superhero, sampai lukisan sirkus. Museum ini didirikan untuk masyarakat menghabiskan liburan dengan menambah pengetahuan. Museum ini menawarkan banyak lukisan-lukisan yang unik misalnya terdapat lukisan dimana anda dapat merasakan keseruan berjalan di atas jembatan kayu yang dibawahnya terdapat jurang yang curam Atau berjuang untuk memadamkan semburanapi panas ari mulut naga, lukisan tersebut tampak seolah-olah nyata. Semua itu terdapat di dalam museum De Mata dengan hasil efek yang menipu mata. Indoor 50000 Kota Yogyakarta Koleksi seni 3D dan ilusi optik, studio fotografi dan area berfoto, kafe dan area duduk, toko suvenir dan toko cenderamata, ruang pameran seni kontemporer, area parkir."
6,Kampung Wisata Taman Sari,"Taman Sari Yogyakarta, atau dikenal juga sebagai Taman Sari Water Castle, adalah kompleks bekas istana kerajaan yang terletak di Jalan Taman, Yogyakarta. Istana ini dibangun pada abad ke-18 oleh Sultan Hamengkubuwono I sebagai tempat rekreasi dan istirahat bagi keluarga kerajaan. Kompleks Taman Sari memiliki arsitektur yang unik dengan campuran gaya Jawa dan Eropa, serta dilengkapi dengan taman-taman, danau buatan, serta kolam-kolam air yang menghadirkan suasana yang tenang dan memesona. Fungsinya dahulu sebagai tempat peristirahatan, kini Taman Sari menjadi salah satu objek wisata budaya terkenal di Yogyakarta yang menarik banyak pengunjung untuk menjelajahi bangunan bersejarah dan menikmati keindahan arsitektur serta kebun yang hijau. Selain sebagai destinasi wisata, Taman Sari juga menjadi saksi bisu dari masa keemasan kerajaan Yogyakarta serta memberikan wawasan yang berharga tentang kehidupan istana pada masa lampau.",Outdoor,5000,Kota Yogyakarta,"Pemandu lokal dan tur sejarah, toko kerajinan dan galeri seni, area belajar batik dan kerajinan, restoran dan kafe dengan hidangan lokal, taman dan area terbuka, program pertunjukan seni tradisional.","6 Kampung Wisata Taman Sari Taman Sari Yogyakarta, atau dikenal juga sebagai Taman Sari Water Castle, adalah kompleks bekas istana kerajaan yang terletak di Jalan Taman, Yogyakarta. Istana ini dibangun pada abad ke-18 oleh Sultan Hamengkubuwono I sebagai tempat rekreasi dan istirahat bagi keluarga kerajaan. Kompleks Taman Sari memiliki arsitektur yang unik dengan campuran gaya Jawa dan Eropa, serta dilengkapi dengan taman-taman, danau buatan, serta kolam-kolam air yang menghadirkan suasana yang tenang dan memesona. Fungsinya dahulu sebagai tempat peristirahatan, kini Taman Sari menjadi salah satu objek wisata budaya terkenal di Yogyakarta yang menarik banyak pengunjung untuk menjelajahi bangunan bersejarah dan menikmati keindahan arsitektur serta kebun yang hijau. Selain sebagai destinasi wisata, Taman Sari juga menjadi saksi bisu dari masa keemasan kerajaan Yogyakarta serta memberikan wawasan yang berharga tentang kehidupan istana pada masa lampau. Outdoor 5000 Kota Yogyakarta Pemandu lokal dan tur sejarah, toko kerajinan dan galeri seni, area belajar batik dan kerajinan, restoran dan kafe dengan hidangan lokal, taman dan area terbuka, program pertunjukan seni tradisional."
7,Situs Warungboto,"Situs Warung Boto merupakan sebuah situs arkeologi yang terletak di Yogyakarta, tepatnya di Jalan Panembahan Senopati, Kotagede. Situs ini terdiri dari bangunan-bangunan bersejarah yang diperkirakan berasal dari abad ke-18, yang dahulu merupakan bagian dari kompleks keraton atau istana. Warung Boto awalnya digunakan sebagai tempat peristirahatan sultan dan keluarga kerajaan. Bangunan-bangunan di situs ini memiliki arsitektur khas Jawa yang elegan dengan sentuhan budaya Islam. Saat ini, Warung Boto menjadi destinasi wisata sejarah yang menarik, di mana pengunjung dapat melihat sisa-sisa arsitektur keraton yang indah dan mendapatkan gambaran tentang kehidupan kerajaan Yogyakarta pada masa lalu. Selain itu, situs ini juga sering digunakan sebagai lokasi untuk berbagai acara budaya dan seni tradisional yang memperkaya pengalaman wisatawan yang berkunjung ke Yogyakarta.",Outdoor,0,Kabupaten Bantul,"Pemandangan alam, area rekreasi, tempat bersejarah, fasilitas parkir, fasilitas toilet, tempat makan.","7 Situs Warungboto Situs Warung Boto merupakan sebuah situs arkeologi yang terletak di Yogyakarta, tepatnya di Jalan Panembahan Senopati, Kotagede. Situs ini terdiri dari bangunan-bangunan bersejarah yang diperkirakan berasal dari abad ke-18, yang dahulu merupakan bagian dari kompleks keraton atau istana. Warung Boto awalnya digunakan sebagai tempat peristirahatan sultan dan keluarga kerajaan. Bangunan-bangunan di situs ini memiliki arsitektur khas Jawa yang elegan dengan sentuhan budaya Islam. Saat ini, Warung Boto menjadi destinasi wisata sejarah yang menarik, di mana pengunjung dapat melihat sisa-sisa arsitektur keraton yang indah dan mendapatkan gambaran tentang kehidupan kerajaan Yogyakarta pada masa lalu. Selain itu, situs ini juga sering digunakan sebagai lokasi untuk berbagai acara budaya dan seni tradisional yang memperkaya pengalaman wisatawan yang berkunjung ke Yogyakarta. Outdoor 0 Kabupaten Bantul Pemandangan alam, area rekreasi, tempat bersejarah, fasilitas parkir, fasilitas toilet, tempat makan."
8,Nol Kilometer Jl.Malioboro,"Walaupun hanyalah sebuah persimpangan, namun persimpangan Titik 0 km ini bukanlah sebuah persimpangan biasa. Karena di persimpangan ini bisa dibilang sebagai titik tengah kota Jogja karena lokasinya yang benar-benar di depan Keraton Yogyakarta sebagai pendiri daerah yang istimewa ini. Terlebih lagi di sebelah utaranya adalah pusat keramaian wisata Jogja yaitu Jalan Malioboro, sehingga jika anda sedang nongkrong di persimpangan Titik Nol Kilometer ini benar-benar merasakan titik tengah Jogja yang begitu syahdu. Titik 0 Kilometer Yogyakarta memang tempat favorit wisatawan untuk menghabiskan waktu, terlebih pada sore hari dan malam hari yang setiap hari selalu ramai disesaki oleh para wisatawan yang sekedar hanya untuk nongkrong di dudukan yang banyak disediakan di sekitar perempatan.",Outdoor,0,Kota Yogyakarta," Landmark, tempat belanja, area kuliner, fasilitas transportasi, atraksi jalanan, tempat nongkrong.","8 Nol Kilometer Jl.Malioboro Walaupun hanyalah sebuah persimpangan, namun persimpangan Titik 0 km ini bukanlah sebuah persimpangan biasa. Karena di persimpangan ini bisa dibilang sebagai titik tengah kota Jogja karena lokasinya yang benar-benar di depan Keraton Yogyakarta sebagai pendiri daerah yang istimewa ini. Terlebih lagi di sebelah utaranya adalah pusat keramaian wisata Jogja yaitu Jalan Malioboro, sehingga jika anda sedang nongkrong di persimpangan Titik Nol Kilometer ini benar-benar merasakan titik tengah Jogja yang begitu syahdu. Titik 0 Kilometer Yogyakarta memang tempat favorit wisatawan untuk menghabiskan waktu, terlebih pada sore hari dan malam hari yang setiap hari selalu ramai disesaki oleh para wisatawan yang sekedar hanya untuk nongkrong di dudukan yang banyak disediakan di sekitar perempatan. Outdoor 0 Kota Yogyakarta  Landmark, tempat belanja, area kuliner, fasilitas transportasi, atraksi jalanan, tempat nongkrong."
9,Gembira Loka Zoo,"Kebun Binatang Gembira Loka, terletak di Jalan Kebun Binatang No. 6, Yogyakarta, adalah salah satu kebun binatang tertua dan terbesar di Indonesia. Berdiri pada tahun 1956, Gembira Loka awalnya merupakan bagian dari upaya konservasi satwa liar dan pendidikan lingkungan. Kebun binatang ini menawarkan pengalaman unik bagi pengunjung untuk melihat beragam spesies hewan dari berbagai belahan dunia, termasuk mamalia, burung, reptil, dan amfibi. Selain hewan-hewan eksotis, Gembira Loka juga memiliki taman bermain dan wahana rekreasi yang menarik, seperti kereta gantung, perahu danau, serta miniatur candi. Pengunjung dapat menikmati waktu bersama keluarga sambil belajar tentang keanekaragaman hayati dan pentingnya konservasi lingkungan. Dengan lokasi yang strategis di pusat kota Yogyakarta, Gembira Loka menjadi destinasi populer bagi wisatawan untuk menghabiskan waktu berkualitas sambil menikmati keindahan alam dan keunikan satwa.",Outdoor,60000,Kota Yogyakarta,"Wahana permainan, taman bermain anak, restoran, toko suvenir, area piknik.","9 Gembira Loka Zoo Kebun Binatang Gembira Loka, terletak di Jalan Kebun Binatang No. 6, Yogyakarta, adalah salah satu kebun binatang tertua dan terbesar di Indonesia. Berdiri pada tahun 1956, Gembira Loka awalnya merupakan bagian dari upaya konservasi satwa liar dan pendidikan lingkungan. Kebun binatang ini menawarkan pengalaman unik bagi pengunjung untuk melihat beragam spesies hewan dari berbagai belahan dunia, termasuk mamalia, burung, reptil, dan amfibi. Selain hewan-hewan eksotis, Gembira Loka juga memiliki taman bermain dan wahana rekreasi yang menarik, seperti kereta gantung, perahu danau, serta miniatur candi. Pengunjung dapat menikmati waktu bersama keluarga sambil belajar tentang keanekaragaman hayati dan pentingnya konservasi lingkungan. Dengan lokasi yang strategis di pusat kota Yogyakarta, Gembira Loka menjadi destinasi populer bagi wisatawan untuk menghabiskan waktu berkualitas sambil menikmati keindahan alam dan keunikan satwa. Outdoor 60000 Kota Yogyakarta Wahana permainan, taman bermain anak, restoran, toko suvenir, area piknik."
10,Sumur Gumuling,"Sumur Gumuling adalah sebuah bangunan sejarah yang terletak di kompleks Taman Sari, Yogyakarta. Dibangun pada abad ke-18 oleh Sultan Hamengkubuwono I, Sumur Gumuling digunakan sebagai tempat peristirahatan dan tempat pemandian bagi keluarga kerajaan. Arsitektur Sumur Gumuling unik karena memiliki bentuk bulat dengan atap kubah yang indah. Bangunan ini memiliki fungsi ganda sebagai tempat beribadah karena diduga pernah digunakan sebagai musala atau tempat ibadah bagi keluarga kerajaan. Saat ini, Sumur Gumuling menjadi salah satu objek wisata sejarah yang menarik untuk dikunjungi di Yogyakarta. Pengunjung dapat menjelajahi interior bangunan yang terbuat dari batu bata merah dengan atmosfer yang tenang dan sejuk. Selain itu, kompleks Taman Sari tempat Sumur Gumuling berada juga menawarkan pemandangan yang memesona dengan kolam dan taman yang mengelilingi bangunan, menciptakan suasana yang cocok untuk berwisata sejarah dan mengagumi keindahan arsitektur tradisional Jawa.",Outdoor,7000,Kota Yogyakarta,"Bangunan bersejarah, area keagamaan, taman indah, tempat duduk santai, pemandangan alam, fasilitas parkir.","10 Sumur Gumuling Sumur Gumuling adalah sebuah bangunan sejarah yang terletak di kompleks Taman Sari, Yogyakarta. Dibangun pada abad ke-18 oleh Sultan Hamengkubuwono I, Sumur Gumuling digunakan sebagai tempat peristirahatan dan tempat pemandian bagi keluarga kerajaan. Arsitektur Sumur Gumuling unik karena memiliki bentuk bulat dengan atap kubah yang indah. Bangunan ini memiliki fungsi ganda sebagai tempat beribadah karena diduga pernah digunakan sebagai musala atau tempat ibadah bagi keluarga kerajaan. Saat ini, Sumur Gumuling menjadi salah satu objek wisata sejarah yang menarik untuk dikunjungi di Yogyakarta. Pengunjung dapat menjelajahi interior bangunan yang terbuat dari batu bata merah dengan atmosfer yang tenang dan sejuk. Selain itu, kompleks Taman Sari tempat Sumur Gumuling berada juga menawarkan pemandangan yang memesona dengan kolam dan taman yang mengelilingi bangunan, menciptakan suasana yang cocok untuk berwisata sejarah dan mengagumi keindahan arsitektur tradisional Jawa. Outdoor 7000 Kota Yogyakarta Bangunan bersejarah, area keagamaan, taman indah, tempat duduk santai, pemandangan alam, fasilitas parkir."
