Place_ID,Place_Name,Deskripsi,Jam,Harga,lokasi,fasilitas,Detail_lokasi
1,Taman Pintar Yogyakarta,"Taman Pintar Yogyakarta (bahasa Jawa: Hanacaraka,ê¦ ê¦©ê¦¤ê§€â€‹ê¦¥ê¦¶ê¦¤ê§€ê¦ ê¦‚â€‹ê¦”ê¦ªê¦ºê¦´ê¦’ê¦¾ê¦ê¦‚ê¦ , Taman Pintar Ngayogyakarta) adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. Taman Pintar memiliki arena bermain sekaligus sarana edukasi yang terbagi dalam beberapa zona. Akses langsung kepada pusat buku eks Shopping Centre juga menambah nilai lebih Taman Pintar. Tempat rekreasi ini sangat baik untuk anak-anak pada masa perkembangan.\nBeberapa tahun ini Taman Pintar menjadi alternatif tempat berwisata bagi masyarakat Yogyakarta maupun luar kota.Taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi. Pada saat ini ada 35 zona dan 3.500 alat peraga permainan yang edukatif.",08.30 - 16.00,6000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.897538466002!2d110.36508017476612!3d-7.800671492219556!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a57860f2fb9af%3A0xa9f6007074b62dd8!2sTaman%20Pintar%20Yogyakarta!5e0!3m2!1sid!2sid!4v1715388966335!5m2!1sid!2sid,"Laboratorium interaktif dan eksperimen ilmiah, panggung pertunjukan dan teater, area bermain anak dan wahana permainan edukatif, kafe dan tempat makan, area istirahat dan piknik, toko suvenir dan toko buku.","Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
2,Keraton Yogyakarta,"Keraton Ngayogyakarta Hadiningrat atau Keraton Yogyakarta (bahasa Jawa: ê¦ê¦«ê¦ ê¦ºê¦´ê¦¤ê§€â€‹ê¦”ê¦ªê¦ºê¦´ê¦’ê¦¾ê¦ê¦‚ê¦ â€‹ê¦²ê¦¢ê¦¶ê¦¤ê¦¶ê¦”ê¦¿ê¦ ê§€, translit. Karaton Ngayogyakarta Hadiningrat) merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Keraton ini didirikan oleh Sri Sultan Hamengkubuwana I pada tahun 1755 sebagai Istana/Keraton Yogyakarta yang baru berdiri akibat perpecahan Mataram Islam dengan adanya Perjanjian Giyanti. Keraton ini adalah pecahan dari Keraton Surakarta Hadiningrat dari Kesunanan Surakarta (Kerajaan Surakarta). Sehingga dinasti Mataram diteruskan oleh 2 Kerajaan yakni Kesultanan Yogyakarta dan Kesunanan Surakarta. Total luas wilayah keseluruhan keraton yogyakarta mencapai 184 hektar, yakni meliputi seluruh area di dalam benteng Baluwarti, alun-alun Lor, alun-alun Kidul, gapura Gladak, dan kompleks Masjid Gedhe Yogyakarta. Sementara luas dari kedhaton (inti keraton) mencapai 13 hektar. Walaupun Kesultanan Yogyakarta secara resmi telah menjadi bagian Republik Indonesia pada tahun 1945, kompleks bangunan keraton ini masih berfungsi sebagai tempat tinggal sultan dan rumah tangga istananya yang masih menjalankan tradisi kesultanan hingga saat ini. Keraton ini kini juga merupakan salah satu objek wisata di Kota Yogyakarta. Sebagian kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas.",08.30 - 14.30,15000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.853926227532!2d110.36162817476611!3d-7.805284492215036!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5796db06c7ef%3A0x395271cf052b276c!2sKeraton%20Ngayogyakarta%20Hadiningrat!5e0!3m2!1sid!2sid!4v1715389025583!5m2!1sid!2sid,"Museum dengan koleksi artefak sejarah, pemandu wisata dan tur sejarah, ruang upacara dan pertunjukan tradisional, toko suvenir dan oleh-oleh, taman dan area terbuka, area parkir.","Jl. Rotowijayan Blok No. 1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta"
3,Sindu Kusuma Edupark (SKE),"Sindu Kusuma Edupark (SKE) merupakan sebuah destinasi rekreasi yang terletak di Jogjakarta. Di tujuh hektar kawasan taman yang selesai dibangun tahun 2014 ini, terdapat bermacam-macam wahana, baik wahana bermain maupun wahana belajar yang bisa dinikmati oleh semua anggota keluarga. Wahana yang paling terkenal dari SKE adalah bianglalanya, yang merupakan sebuah wahana bermain sekaligus ikon SKE sendiri. Bila Singapore memiliki Flyer setinggi 165 meter, sementara Malaysia punya Eye setinggi 88 meter, dan di Thailand ada Asiatique setinggi 60 meter, Indonesia memiliki Cakra Manggilingan dengan tinggi 48 meter. Di tingkat Asia Tenggara, bianglala ini memang mesti berpuas diri duduk di peringkat keenam sebagai bianglala tertinggi, tetapi di tingkat nasional, ia duduk di peringkat pertama.",09.00 -17.00,20000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.206832549127!2d110.35199177476572!3d-7.767878392251429!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a584281200f8b%3A0xeed0884f4b2272a8!2sSindu%20Kusuma%20Edupark%20(SKE)!5e0!3m2!1sid!2sid!4v1715388872858!5m2!1sid!2sid,"Beragam wahana permainan dan atraksi edukatif, taman dan area piknik, restoran dan kafe, area bermain anak, tempat duduk dan area istirahat, toko suvenir dan toko mainan.","Jl. Jambon, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284"
4,Museum Benteng Vredeburg Yogyakarta,"Museum Benteng Vredeburg (bahasa Jawa: ê¦©ê¦¸ê¦±ê¦¶ê¦ªê¦¸ê¦©ê§€â€‹ê¦§ê¦ºê¦ ê¦ºê¦â€‹ê¦®ê¦³ê¦½ê¦¢ê¦¼ê¦§ê¦¸ê¦‚ê¦’ê§€, translit. Musiyum BÃ¨tÃ¨ng Vredeburg adalah sebuah benteng yang terletak di depan Gedung Agung dan Kraton Kesultanan Yogyakarta. Sekarang, benteng ini menjadi sebuah museum. Di sejumlah bangunan di dalam benteng ini terdapat diorama mengenai sejarah Indonesia.",09.00 - 14.00,3000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.9011157443915!2d110.36358927476611!3d-7.800292992219904!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5788c0b3eecf%3A0xb9611ce0232a9ff8!2sMuseum%20Benteng%20Vredeburg!5e0!3m2!1sid!2sid!4v1715389100614!5m2!1sid!2sid,"Pameran sejarah dan multimedia, auditorium dan ruang pertunjukan, toko suvenir dan toko buku, area istirahat dan kafe, layanan pemandu wisata, Wi-Fi gratis.","Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
5,De Mata Museum Jogja,"Museum De Mata merupakan salah satu museum yang berisi lukisan 3D terbanyak di dunia. Jumlah lukisannya sekitar 120 dan setiap lukisan memiliki konsep dengan latar belakang yang terlihat seperti nyata. Ada beberapa ukuran lukisan yang ada di Museum De Mata dari ukuran biasa sampai mencapai 5 meter. Ada beberapa macam kategori lukisannya yaitu ornament, lanscape, olahraga, tokoh-tokoh terkenal, superhero, sampai lukisan sirkus. Museum ini didirikan untuk masyarakat menghabiskan liburan dengan menambah pengetahuan. Museum ini menawarkan banyak lukisan-lukisan yang unik misalnya terdapat lukisan dimana anda dapat merasakan keseruan berjalan di atas jembatan kayu yang dibawahnya terdapat jurang yang curam Atau berjuang untuk memadamkan semburanapi panas ari mulut naga, lukisan tersebut tampak seolah-olah nyata. Semua itu terdapat di dalam museum De Mata dengan hasil efek yang menipu mata.",09.00 - 16.00,50000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.749532071797!2d110.38456927476628!3d-7.816315592204333!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a570cd99720e1%3A0x93c125605f67d153!2sDe%20Mata%20Museum%20Jogja!5e0!3m2!1sid!2sid!4v1715389188774!5m2!1sid!2sid,"Koleksi seni 3D dan ilusi optik, studio fotografi dan area berfoto, kafe dan area duduk, toko suvenir dan toko cenderamata, ruang pameran seni kontemporer, area parkir.","XT Square, Jl. Veteran No.150-151, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161"
6,Kampung Wisata Taman Sari,"Taman Sari Yogyakarta atau Taman Sari Keraton Yogyakarta (Hanacaraka:ê¦ ê¦©ê¦¤ê§€ê¦±ê¦«ê¦¶ê¦”ê¦ªê¦ºê¦´ê¦’ê¦¾ê¦ê¦‚ê¦¡, Tamansari Ngayogyakarta) adalah situs bekas taman atau kebun istana Keraton Ngayogyakarta Hadiningrat, yang dapat dibandingkan dengan Kebun Raya Bogor sebagai kebun Istana Bogor. Kebun ini dibangun pada zaman Sultan Hamengku Buwono I (HB I) pada tahun 1758-1765/9. Awalnya, taman yang mendapat sebutan ""The Fragrant Garden"" ini memiliki luas lebih dari 10 hektare dengan sekitar 57 bangunan baik berupa gedung, kolam pemandian, jembatan gantung, kanal air, maupun danau buatan beserta pulau buatan dan lorong bawah air. Kebun yang digunakan secara efektif antara 1765-1812 ini pada mulanya membentang dari barat daya kompleks Kedhaton sampai tenggara kompleks Magangan. Namun saat ini, sisa-sisa bagian Taman Sari yang dapat dilihat hanyalah yang berada di barat daya kompleks Kedhaton saja.",09.00 - 15.00,5000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.8119168503185!2d110.3559233747662!3d-7.8097253922107175!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5793d0c2cf2b%3A0x276a21f8a01cbe13!2sKampung%20Wisata%20Taman%20Sari!5e0!3m2!1sid!2sid!4v1715389256706!5m2!1sid!2sid,"Pemandu lokal dan tur sejarah, toko kerajinan dan galeri seni, area belajar batik dan kerajinan, restoran dan kafe dengan hidangan lokal, taman dan area terbuka, program pertunjukan seni tradisional.","Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133"
7,Situs Warungboto,"Situs Warungboto atau Pesanggrahan Rejawinangun adalah salah satu bangunan cagar budaya yang terletak di Jalan Veteran No.77, Kelurahan Warungboto, Kecamatan Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta. Pada awalnya, situs ini merupakan lokasi sebuah pesanggrahan dan pemandian.",08.00 - 17.00,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.807481915185!2d110.38840937742958!3d-7.8101940721249195!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a576dd45f6243%3A0x47c4825dd428cf01!2sSitus%20Warungboto!5e0!3m2!1sid!2sid!4v1715389311675!5m2!1sid!2sid,"Pemandangan alam, area rekreasi, tempat bersejarah, fasilitas parkir, fasilitas toilet, tempat makan.","Jl. Veteran No.77, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164"
8,Nol Kilometer Jl.Malioboro,"Walaupun hanyalah sebuah persimpangan, namun persimpangan Titik 0 km ini bukanlah sebuah persimpangan biasa. Karena di persimpangan ini bisa dibilang sebagai titik tengah kota Jogja karena lokasinya yang benar-benar di depan Keraton Yogyakarta sebagai pendiri daerah yang istimewa ini. Terlebih lagi di sebelah utaranya adalah pusat keramaian wisata Jogja yaitu Jalan Malioboro, sehingga jika anda sedang nongkrong di persimpangan Titik Nol Kilometer ini benar-benar merasakan titik tengah Jogja yang begitu syahdu. Titik 0 Kilometer Yogyakarta memang tempat favorit wisatawan untuk menghabiskan waktu, terlebih pada sore hari dan malam hari yang setiap hari selalu ramai disesaki oleh para wisatawan yang sekedar hanya untuk nongkrong di dudukan yang banyak disediakan di sekitar perempatan.",00.00 - 23.59,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.890684920683!2d110.36218917476612!3d-7.801396592218782!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a57599a1f9397%3A0xebbf28ee280ce10f!2sTitik%20Nol%20Yogyakarta!5e0!3m2!1sid!2sid!4v1715389360121!5m2!1sid!2sid," Landmark, tempat belanja, area kuliner, fasilitas transportasi, atraksi jalanan, tempat nongkrong.","Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
9,Gembira Loka Zoo,"Kebun Binatang Gembira Loka biasa disebut Gembira Loka Zoo (disingkat GL Zoo, bahasa Jawa: ê¦ê¦¼ê¦§ê¦ºê¦´ê¦¤ê§€â€‹ê¦«ê¦—â€‹ê¦’ê¦¼ê¦©ê§€ê¦§ê¦¶ê¦«â€‹ê¦­ê¦ºê¦´ê¦, translit. KÃªbon Raja GÃªmbira Loka) adalah kebun binatang yang berada di Kota Yogyakarta. Berisi berbagai macam spesies dari belahan dunia, seperti orang utan, gajah asia, simpanse, harimau, dan lain sebagainya. Kebun Binatang Gembira Loka menjadi daya tarik tersendiri bagi para wisatawan Yogyakarta. Gembira Loka Zoo sempat rusak parah akibat gempa bumi Yogyakarta tahun 2006. Tetapi, setelah direnovasi Kebun Binatang Gembira Loka tetap dicari para wisatawan.",09.00 - 15.00,60000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.8472332210454!2d110.39374057476608!3d-7.805992192214343!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a57196b21a901%3A0x77e3f6112577fb0f!2sGembira%20Loka%20Zoo!5e0!3m2!1sid!2sid!4v1715389410997!5m2!1sid!2sid,"Wahana permainan, taman bermain anak, restoran, toko suvenir, area piknik.","Jl. Kebun Raya No.2, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171"
10,Sumur Gumuling,Sumur Gumuling adalah salah satu tempat untuk ibadah atau kegiatan agama pada masa lalu. Sumur Gumuling merupakan masjid pada zaman pemerintahan Sri Sultan Hamengkubuwana I dan II.,09.00 - 15.00,7000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.8203862873806!2d110.35434167742939!3d-7.808830272129685!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a57250f35a095%3A0x94238e77dae33aa6!2sCDI%20Custom%20-%20Sumur%20Gumuling!5e0!3m2!1sid!2sid!4v1715389481493!5m2!1sid!2sid,"Bangunan bersejarah, area keagamaan, taman indah, tempat duduk santai, pemandangan alam, fasilitas parkir.","Jl. Taman, KT I, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133"
11,Desa Wisata Sungai Code Jogja Kota,"Kampung Code berada di Kelurahan Kotabaru, Kecamatan Gondokusuman Kota Yogyakarta. Lokasi persisnya ada di RT 01/RW 01 di sebelah selatan jembatan Gondolayu di Jl Jenderal Sudirman atau di sebelah timur bantaran Kali Code yang membelah Kota Yogyakarta. Kampung Code terletak persis di bantaran Kali Code yang memanjang ke arah selatan dengan kontur tanah bertebing dari atas ke bawah. Di bagian atas yang mepet Jl Faridan M. Noto sebagian besar digunakan warga untuk usaha jasa/jual beli ban mobil. Sedangkan di bagian bawah menjadi tempat pemukiman warga. Kampung Code yang tadinya kampung biasa, menjelma menjadi sebuah karya seni berkat jasa seorang arsitek sekaligus pemuka agama katolik, Romo YB Manguwijaya.",08.00 - 17.00,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.6870656169353!2d110.37311447476637!3d-7.822908892197879!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a57a8934200db%3A0xb78e33e22bb6ee86!2sDesa%20Wisata%20Sungai%20Code%20Jogja%20Kota!5e0!3m2!1sid!2sid!4v1715389523634!5m2!1sid!2sid,"Homestay, aktivitas pedesaan, lokasi fotografi, kuliner lokal, kerajinan tangan, taman bunga.","Jl. Lowanu, Rw 16 Mulyorejo, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153"
12,Alun Alun Selatan Yogyakarta,"Alun-alun Selatan atau yang sekarang lebih dikenal sebagai Alun-alun Kidul (Alkid) yaitu alun-alun yang terletak di sebelah selatan karaton Yogyakarta. Alun-alun ini berbentuk tanah lapang luas berpasir, dengan luas sekitar 160m x 160 m. Alun-alun ini dikelilingi pagar tembok batu bata setinggi 2,20 m, tebal pagar tembok 30 cm, sudah banyak yang runtuh dan rusak. Adapun pagar tembok yang dapat disaksikan sekarang adalah pagar tembok baru, yang dibangun oleh Sri Sultan Hamengkubuwono ke VII pada masa pemerintahannya tahun 1877 -1921 M.",00.00 - 23.59,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.7918790919175!2d110.36062412476626!3d-7.811842742208634!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5796d3ee690f%3A0x50562263d6351120!2sAlun%20Alun%20Kidul%2C%20Patehan%2C%20Kecamatan%20Kraton%2C%20Kota%20Yogyakarta%2C%20Daerah%20Istimewa%20Yogyakarta!5e0!3m2!1sid!2sid!4v1715389633472!5m2!1sid!2sid,"Area bermain keluarga, kios jajanan, pasar malam, panggung seni, fasilitas olahraga, tempat duduk bersantai.","Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta"
13,Monumen Yogya Kembali,"Museum Monumen Yogya Kembali (bahasa Jawa: ê¦©ê¦ºê¦´ê¦¤ê¦¸ê¦©ê¦ºê¦¤ê§€â€‹ê¦ªê¦ºê¦´ê¦’ê¦¾â€‹ê¦ê¦¼ê¦©ê§€ê¦§ê¦­ê¦¶, translit. MonumÃ¨n Yogya Kembali) biasa dikenal sebagai Monumen Jogja Kembali disingkat Monjali adalah sebuah museum sejarah perjuangan kemerdekaan Indonesia yang ada di Daerah Istimewa Yogyakarta dan dikelola oleh Kementerian Pariwisata dan Ekonomi Kreatif. Museum yang berada di bagian utara kota ini banyak dikunjungi oleh para pelajar dalam acara darmawisata.\n\nMuseum monumen dengan bentuk kerucut ini terdiri dari 3 lantai dan dilengkapi dengan ruang perpustakaan serta ruang serbaguna. Pada rana pintu masuk dituliskan sejumlah 422 nama pahlawan yang gugur di daerah Wehrkreise III (RIS) antara tanggal 19 Desember 1948 sampai dengan 29 Juni 1949. Dalam 4 ruang museum di lantai 1 terdapat benda-benda koleksi: relief, replika, foto, dokumen, heraldika, berbagai jenis senjata, bentuk evokatif dapur umum dalam suasana perang kemerdekaan 1945-1949. Tandu dan dokar (kereta kuda) yang pernah dipergunakan oleh Panglima Besar Jenderal Soedirman juga disimpan di sini (di ruang museum nomor 2). Monumen Yogya Kembali beralamat di Jl. Ring Road Utara, Kabupaten Sleman, Daerah Istimewa Yogyakarta.",08.00 - 16.00,15000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.37875667988!2d110.36703187476557!3d-7.749590392269212!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a58f99013c989%3A0x2a96db25b8ff4333!2sMonumen%20Yogya%20Kembali!5e0!3m2!1sid!2sid!4v1715389681175!5m2!1sid!2sid,"Museum sejarah, area edukasi, taman kota, patung-patung, toko buku, kafe.","Jl. Ring Road Utara, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581"
14,Taman Pelangi Yogyakarta,"Taman Pelangi Yogyakarta merupakan tempat wisata malam yang menampilkan warna-warni lampu lampion, sehingga terlihat seperti pelangi. Taman wisata ini terletak di Jalan Padjajaran (sebelumnya bernama Jalan Ring Road Utara), dan berada di lokasi Museum Monumen Yogya Kembali (Monumen Jogja Kembali) Yogyakarta. Taman Pelangi memiliki lebih dari 20 jenis permainan, 25 stand makan dan stand minum. Taman pelangi ini bisa dinikmati dari sore sampai malam, atau dari jam 17.00 sampai jam 23.00. Malam hari anda akan terasa lengkap dan sempurna di Taman Pelangi dengan banyaknya lampion yang menyala memberikan kesan yang menarik untuk menenangkan pikiran.",17.00 - 22.00,15000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3953.372067938549!2d110.36692387476549!3d-7.75030269226854!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a58f975c66097%3A0x99331d342ee5862d!2sTaman%20Pelangi%20Jogja!5e0!3m2!1sid!2sid!4v1715389921673!5m2!1sid!2sid,"Taman bermain anak, area piknik, air mancur warna-warni, wahana permainan air, fasilitas kebugaran, tempat duduk santai.","Jl. Ring Road Utara, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284"
15,Kampung Wisata Kadipaten,Kampung Wisata Kadipaten secaara kewilayahan berada di Kelurahan Kadipaten Kecamatan Kraton. Keberadaannya juga berfungsi sebagai penyangga obyek wisata Kraton Kasultanan Yogyakarta. Sesuai dengan potensi yang ada Kampung Wisata Kadipaten kemudian mengangkat tema â€œArt and Heritage Turismâ€ sebagai brandinngnya. Kawasan kampung wisata ini menjadi sangat unik dan spesifik karena disana banyak terdapat bangunan situs cagar busaya terutama bangunan Dalem Pangeran. Nama Kadipaten sendiri konon berasal dari nama kawasan yang disana banyak terdapat bangunan situs cagar budaya terutama bangunan Dalem Pangeran. Nama Kadipaten konon berasal dari nama kawasan yang disana banyak ditinggali oleh kerabat Kraton yang sekaligus sebagai pengagung Kraton.,08.00 - 15.00,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.837333048232!2d110.35559587476627!3d-7.807038892213328!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a578d8533ce31%3A0x20fed128d47c4cb5!2sKampung%20Wisata%20Kadipaten!5e0!3m2!1sid!2sid!4v1715389970133!5m2!1sid!2sid,"Rumah tradisional, kuliner khas, galeri seni, lokakarya kerajinan, acara budaya, pemandangan pedesaan.","Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132"
16,Taman Budaya Yogyakarta,"Taman Budaya Yogyakarta (TBY) (Hanacaraka:ê¦ ê¦©ê¦¤ê§€â€‹ê¦§ê¦¸ê¦¢ê¦ªâ€‹ê¦”ê¦ªê¦ºê¦´ê¦’ê¦¾ê¦ê¦‚ê¦ , bahasa Jawa: Taman Budaya Ngayogyakarta) adalah sarana wisata yang terletak di Jalan Sri Wedani No 1, Yogyakarta. TBY memiliki kompleks gedung yang berfungsi sebagai tempat pameran, pertunjukan, dan berbagai kegiatan seni lainnya. TBY merupakan Unit Pelaksana Teknis Dinas (UPTD) pada Dinas Kebudayaan Provinsi Daerah Istimewa Yogyakarta. Fungsi dari TBY adalah sebagai pusat budaya termasuk di dalamnya pengembangan dan pengolahan pusat dokumentasi, etalase, dan informasi seni budaya dan pariwisata.",07.30 - 16.00,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.9029012007145!2d110.36278697742881!3d-7.800104072160033!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a578614472d91%3A0x13cb03c951e9b2f8!2sTaman%20Budaya%20Yogyakarta!5e0!3m2!1sid!2sid!4v1715390002930!5m2!1sid!2sid,"Pertunjukan seni, teater, galeri seni, kursus seni, toko seni, tempat ngopi.","Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
17,Kampung Wisata Sosro Menduran,"Kampung wisata Sosromenduran merupakan kampung wisata yang sangat unik karena berbasis multi culture, akomodasi dan belanja sekaligus berfungsi sebagai penyangga kawasan Objek Wisata Malioboro. Secara kewilayahan kampung wisata sosromenduran berada di Kelurahan Sosromenduran Kecamatan Gedongtengen. Letaknya sangat strategis karena berada disamping dikawasan Malioboro juga sangat dekat dengan Stasiun Kereta Api Tugu serta banyak terdapat fasilitas kepariwisataan baik hotel, homestay, warung dan restoran, travel, money changer, coffee, rental mobil, sepeda motor bahkan sepeda ontel dan yang sangat menarik di kampung wisata Sosromenduran juga terdapat banyak produsen souvenir kaos oblong yang juga banyak dijual di sepanjang jalan malioboro",00.00 - 23.59,0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.977657423159!2d110.35957607476598!3d-7.792189992227724!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5826be29978d%3A0xe41a56956d58b8c7!2sKampung%20Wisata%20Sosromenduran!5e0!3m2!1sid!2sid!4v1715390037895!5m2!1sid!2sid,"Wisata alam, kebun teh, aktivitas petani, peternakan, kuliner lokal, homestay.","Jl. Sosrowijayan No.69, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271"
18,Monumen Batik Yogyakarta,"Perhatian pemerintah megenai kebudayan batik ini sangat besar, hal ini dikarenakan kebudayaannya bersinggungan langsung dengan masyarakat Jawa. Memperingati Hari Batik Nasional pada hari ini, traveler bisa berjalan-jalan ke monumen batik yang ada di Jogja. Perhatian pemerintah megenai kebudayan batik ini sangat besar, hal ini dikarenakan kebudayaannya bersinggungan langsung dengan masyarakat Jawa. Memperingati Hari Batik Nasional pada hari ini, traveler bisa berjalan-jalan ke monumen batik yang ada di Jogja.",00.00 - 23.59,40000,"""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3952.893338133523!2d110.36204227476608!3d-7.801115892219115!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2e7a5788ccf98665%3A0x528f314a0e4136d4!2zTW9udW1lbiBCYXRpayBZb2d5YWthcnRh6qeL6qap6qa66qa06qak6qa46qap6qa66qak6qeA6qan6qag6qa26qaP6qeA6qaq6qa66qa06qaS6qa-6qaP6qaC6qag!5e0!3m2!1sid!2sid!4v1715390071582!5m2!1sid!2sid""","Pameran batik, lokakarya batik, toko batik, kursus batik, galeri seni, area istirahat.","Jl. KH. Ahmad Dahlan, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122"
